Voornaam,Achternaam,email,maandag?,donderdag?,zondag?
Pietje,Puk,pietje@puk.nl,1,0,1
Japie,Krekel,jaap@krk.com,0,1,0
A,Smit,A@Smit.com,1,0,0
B,de Jong,B@de Jong.com,0,1,0
C,van Beers,C@van Beers.com,0,1,1
D,de Wit,D@de Wit.com,0,1,1
E,Jansen,E@Jansen.com,0,1,1
F,Puk,F@Puk.com,1,1,0
G,Krekel,G@Krekel.com,1,0,0
H,Smit,H@Smit.com,1,1,1
I,de Jong,I@de Jong.com,0,1,0
J ,van Beers,J @van Beers.com,0,1,0
K,de Wit,K@de Wit.com,0,1,1
L,Jansen,L@Jansen.com,0,1,1
M,Puk,M@Puk.com,1,0,1
N,Krekel,N@Krekel.com,0,1,1
O,Smit,O@Smit.com,1,0,1
P ,de Jong,P @de Jong.com,0,1,0
Q,van Beers,Q@van Beers.com,0,1,0
R,de Wit,R@de Wit.com,1,1,0
S,Jansen,S@Jansen.com,0,1,1
T,Puk,T@Puk.com,1,1,0
U,Krekel,U@Krekel.com,1,0,1
V ,Smit,V @Smit.com,0,1,0
W,de Jong,W@de Jong.com,1,1,0
X,van Beers,X@van Beers.com,1,0,1
Y,de Wit,Y@de Wit.com,0,1,0
Z,Jansen,Z@Jansen.com,0,1,1
Aa,Puk,Aa@Puk.com,1,0,1
Ab,Krekel,Ab@Krekel.com,0,1,1
Ac,Smit,Ac@Smit.com,1,0,0
Ad,de Jong,Ad@de Jong.com,0,1,1
Ae,van Beers,Ae@van Beers.com,0,1,1
Af,de Wit,Af@de Wit.com,1,1,1
Ag,Jansen,Ag@Jansen.com,1,1,1
Ah,Puk,Ah@Puk.com,0,1,1
Ai,Krekel,Ai@Krekel.com,1,1,1
Aj ,Smit,Aj @Smit.com,1,0,1
Ak,de Jong,Ak@de Jong.com,1,0,1
Al,van Beers,Al@van Beers.com,0,1,1
Am,de Wit,Am@de Wit.com,0,1,0
An,Jansen,An@Jansen.com,0,1,1
Ao,Puk,Ao@Puk.com,0,1,1
Ap ,Krekel,Ap @Krekel.com,1,1,0
Aq,Smit,Aq@Smit.com,1,0,0
Ar,de Jong,Ar@de Jong.com,0,1,1
As,van Beers,As@van Beers.com,0,1,0
At,de Wit,At@de Wit.com,0,1,0
Au,Jansen,Au@Jansen.com,0,1,1
Av ,Puk,Av @Puk.com,0,1,0
